ID,Name,Artist,Album,Year,Emotion
SOTSEIR12A8C141BA6,I Can't Stand It,Sam Baker,Sugar Man,2005,sad
SOIKTUX12A6D4F3E39,Spent,Darwin's Waiting Room,Orphan,2001,discontent
SOHBIKM12AB01840AF,Cabaret,Mademoiselle Sane,La petite boite en fer,2007,sad
SOZWMDF12AB018317A,Idnnitkhtr,TAKARU,There Can Be Only None,2004,sad
SOODZRY12A6D4F81A0,It's All Understood,Jack Johnson,Flake,2000,discontent
SOFHIRE12A6D4FB518,The Ball,Harry Gregson-Williams,Shrek 2,2004,discontent
SOESALW12A6D4F7BBD,All That's Left,Thrice,The Artist In The Ambulance,2003,angry
SORSXYJ12AB01882C9,(Coffee's For Closers),Fall Out Boy,Folie \xc3\xa0 Deux,2008,afraid
SOMJFYS12A8C13E24C,Why U Mad At Me (Explicit Screwed Version),T.I.,Urban Legend,2004,afraid
SOKELXZ12A8C13B501,The Legend of Yellow Boobie,Year of Desolation,Your Blood_ My Vendetta,2005,angry
SOKEKSF12AAF3B3977,Chuckanut Drive,Power Pill Fist,Kongmanivong,2008,sad
SOLMKME12B0B8081D3,Slave Song,Sade,Lovers Rock,2000,afraid
SONTBKA12A8C144020,U Not Like Me,50 Cent,Get Rich Or Die Tryin',2002,sad
SOZSPRJ12A8C13EC7C,En mis besos,Caf\xc3\xa9 Quijano,La taberna del Buda,2001,sad
SOBLUAT12A8C140982,Jolie Blon's Gone,Harry Choates,Cajun Honky Tonk,2005,discontent
SOHDZDZ12A6D4F7238,Crawlspace,Beastie Boys,To The 5 Boroughs,2004,hopeful
SOLFRPO12AB018C705,Juno,Zuma,Juno,2001,angry
SODWUKB12AB0180C2A,Tocame,Gisselle,Atada,2008,angry
SOZOEUF12AB017E66A,Way Beyond,32 Leaves,Panoramic,2009,angry
SOMAYCY12A6D4F936C,Oprah (Album Version),Kathleen Madigan,In Other Words,2006,sad
SONSBJS12A67ADE7EC,Yhteinen koti,Irwin Goodman,Erikoiset,2001,angry
SOUVHAM12A6D4FA42A,Korea (LP Version),Deftones,White Pony,2000,angry
SOTBYJX12AB0188922,(I Used To Couldn't Dance) Tight Pants,Eagles Of Death Metal,Heart On,2008,happy
SOSEVUC12A8C145671,Thats What I Like About a Country Song,Aaron Watson,Angels & Outlaws,2008,afraid
SONMFZP12A8C14297C,Limbo Rock,Dora The Explorer,Dora The Explorer Dance Fiesta!,2006,sad
SOJPXOL12A58A793B9,Xtra Thump (Featuring Tash from Tha Alkaholiks),Defari,Odds & Evens,2003,sad
SOUKJOM12AF72A5F91,Shadow After Dark,Ana Popovic,Still Making History,2007,angry
SOUUNYT12AB0184F40,It's All In My Mind,Teenage Fanclub,Man-made,2005,sad
SOWLGVU12AC3DFA925,Why Did You All Lie to Me?,Dario Marianelli,Everybody's Fine,2009,afraid
SOGVOOU12A8AE4643A,Sun Shower - Cadence Weapon Remix (Cd),Busdriver,Sun Shower,2007,afraid
SOAPNML12A8C13B696,Cold Youth,Cut Copy,In Ghost Colours,2008,sad
SOCHBZX12A8C141F2B,Wailing Sounds,Jimmy Page,Get the Led Out - Led Zeppelin Salute,2004,angry
SOTUDGH12A8C13FED6,Evergreen,Rubyhorse,Rise,2002,sad
SOOYKEK12A8C13B1DD,Rebel Music,Wyclef Jean featuring Prodigy of Mobb Deep,The Preacher's Son,2003,happy
SOMXGSM12A8C130A2C,Unbreak My Heart,Alexander O'Neal,Alex Loves...,2008,sad
SOVXFJX12A81C2387B,Tuscan Chica,Soul Ballet,LAViSH,2007,discontent
SOSPTBA12A81C23A03,El Perro,Juana Molina,Segundo,2003,discontent
SOEGJRT12A6D4FCD65,Henrys Death,BT,Stealth,2005,angry
SODQFQC12A8C13FD7A,Good Enough,Evanescence,The Open Door,2006,hopeful
SOMGYNM12A6D4F9B9B,Breakin',Milk Inc.,Supersized,2006,discontent
SOOPDSG12AB018B57E,C Day (Maxi Club Version),Confetti's,Greatest Hits,2001,discontent
SOJAMMF12A58A7656D,Take Her Out,Alice In Chains,Black Gives Way To Blue,2009,sad
SOULIKU12A58A78CE2,February Song [Live],Josh Groban,Awake Live,2008,sad
SOYBVOI12AB017AD6B,Lover In Demand,Delbert McClinton,Voices Of Americana: Delbert McClinton,2000,sad
SOQWSGM12A6D4FC3C6,You Left Me,The Maine,Can't Stop Won't Stop,2008,hopeful
SODJAZO12A81C2074D,Sailing To The Edge Of The Earth,The Abominable Iron Sloth,The Abominable Iron Sloth,2006,discontent
SOVRIPF12A8C142FD3,Conker The King,Robin Beanland/Dweezil Zappa/Nile Rodgers/Rabbit In The Moon,Conker: Live And Reloaded (Original Soundtrack),2005,discontent
SOPUPYW12A8C13DEC9,Can You Hear Me,Enrique Iglesias,Can You Hear Me,2008,contemplative
SOABRXK12A8C130A36,Saturday Love,Alexander O'Neal,Alex Loves...,2008,discontent
SODISVN12A8C139DBF,True,Jim Reeves,The International Jim Reeves/ Good 'N' Country,2000,sad
SOGCFKE12AB01843C0,How Can I,Jah Cure,Ghetto Life,2003,angry
SOXVMZV12A8C142488,Violet Heart Box,Willie Isz,Georgiavania,2009,discontent
SOOJXKD12A58A7AB3C,It Hurts Me Too,Jeremy Spencer,Precious Little,2006,discontent
SOKASWV12AB01857B5,Night Falls (The Weight Of It),Strata,Strata Presents The End Of The World,2007,sad
SOQEKJO12AB0188E78,La Mona Jacinta,Mar\xc3\xada Elena Walsh,Todos Cantamos Con Maria Elena,2000,hopeful
SOPHMRL12AB017E87B,Don't Let Her Pull You Down,New Found Glory,Not Without A Fight,2009,angry
SOQENPJ12AB0180997,Fortress,Tim Exile,Listening Tree,2009,hopeful
SOLPFAE12A8C13AF2D,Die Meisten,Samy Deluxe,Samy Deluxe,2001,discontent
SOWWOFM12A6D4F82F0,Hard Hitters,Dilated Peoples Featuring Black Thought,Expansion Team,2001,sad
SODIDOO12A58A794E4,The Meantime,Phantom Planet,Live 2004,2004,hopeful
SOBPQVV12A8C13BE51,Are You Happy (Album Version),Drop Dead_ Gorgeous,In Vogue,2006,angry
SOQSJJL12AC46874BC,Harboring An Apparition,Mouth Of The Architect,111,2006,discontent
SOFOBSK12A8C1447C4,One the road (to Damnation),It Dies Today,Sirens,2006,discontent
SOFAOMI12A6D4FA2D8,Shattered Life,Seventh Day Slumber,Once Upon A Shattered Life,2005,angry
SOIRKJL12A8C13A2AA,Give U My Heart,Toni Braxton Featuring Babyface,Ultimate Toni Braxton,2003,sad
SOLYUTF12A8C133225,Crayon Sharpener,themselves,Them,2003,angry
SOQMFYZ12A6D4F9C4A,Diamonds From Sierra Leone,Kanye West,Late Orchestration,2005,contemplative
SOQARNP12A8C135A28,Intro,Tha Liks,X.O. Experience,2001,discontent
SOTEFFR12A8C144765,A Dustland Fairytale,The Killers,Day & Age,2008,sad
SONZEZC12A8C14580B,Baby_ I'm Your Man,Kevin Max,Crashing Gates,2008,discontent
SOODKXT12AB01838B6,Strange Way To Save The World,4Him,Chapter One .. A Decade,2000,hopeful
SOPGYHQ12A8AE47B30,All About Our Love,Sade,Lovers Rock,2000,happy
SOFCCRW12A6D4FA064,The Letter That Johnny Walker Read,Asleep At The Wheel,Kings Of The Texas Swing - Live,2002,hopeful
SOACMGG12AB0189F0D,I Know A Place,Joe Bonamassa,Black Rock,2010,contemplative
SOYQKLT12AB01841BC,Gabriel's Oboe (La Mision),Carlos Nu\xc3\xb1ez,Cinema Do Mar,2007,hopeful
SOPMXHY12A6D4F7DBC,Isle Of Inishmore - Part 1 (Air),Kathy Mattea,Roses,2002,discontent
SONJNMA12A6701DFDE,Inaudible Melodies,Jack Johnson,Brushfire Fairytales,2000,afraid
SOOTJIQ12A8C1368B9,A Veces Vuelvo,Catupecu Machu,El N\xc3\xbamero Imperfecto,2004,discontent
SOWLJJD12AF729D3F5,Here I Am,Phantom Planet,Negatives,2004,sad
SOKPTHW12AB018AB51,This Very Moment,Set Your Goals,Mutiny: Deluxe Edition,2006,hopeful
SOERGHR12AAF3B2A52,Gotta Cut Out,Jimmy McCracklin,The Modern Recordings 1948-50,2002,sad
SOLXIWW12AC468805A,Feeling,Jaco & Mixxmaster,Feeling,2008,hopeful
SOUEDBC12AC90972E5,Warung Beach,John Digweed,Warung Beach,2006,discontent
SOUKRZV12AB0182E90,Ain't That Something,High Strung_ The,These Are Good Times,2003,discontent
SOCDXPZ12AB01844FD,I've got Vilking in Me,Four Tet,My Angel Rocks Back and Forth,2004,sad
SOZDQHO12AB018512F,2StepN,North Mississippi Allstars,Barnyard (OST),2006,sad
SONNYOP12A8AE45715,You Can Do Better Than Me (Album Version),Death Cab for Cutie,Narrow Stairs,2008,sad
SOCWFVT12AB01890F8,Sea of Green,Slackbaba,And The Beat Goes Om,2006,discontent
SOFWWIA12AB01884A1,Sleepy Lad,Maximilian Hecker,Help Me,2004,sad
SOFDYGC12A6D4F9059,Inertiatic Esp,The Mars Volta,Inertiatic Esp,2003,sad
SOYTIWN12A6D4FBA37,Ernestine,Joe Bataan,Call My Name,2005,discontent
SOURXDF12AB0180C6C,Cancion De Amor Eterno,Carlos Vives,Coleccion de Oro,2000,sad
SOAUQNX12AB017B7CF,Your Touch Versus Death,Every Time I Die,The Burial Plot Bidding War,2000,angry
SOWCTVQ12A8C134C64,True Nature,Jane's Addiction,Strays,2003,sad
SOWFMJA12AB01837B6,Hip Replacement,Paris_ Texas,Polyvinyl 2002 - 2003 Sampler,2002,discontent
SOCQGCO12A8C13D2E4,Zornig!,Dynamite Deluxe,Deluxe Soundsystem,2000,sad
SOTJMAA12AB01862F2,Sugar Blues,Bob Willis,Texas Playboys,2000,discontent
SOTZUHM12A58A7E054,Here I Am,FFH,Ready To Fly,2003,discontent
SOXVFFI12AF72A1065,Didn't Know Yet What I'd Know When I Was Bleedin',Dax Riggs,We Sing of Only Blood or Love,2007,contemplative
SOGWPDK12A81C2242F,Unemployed Black Astronaut,Busdriver,Well Deep: Ten Years Of Big Dada,2005,contemplative
SOFQVFL12A6701F8DC,6 Yrs (Album Version ),Reach 454,Reach 454,2003,sad
SOPAHBW12A6D4F7638,Entonces,Fran Perea,Punto y aparte,2005,discontent
SONAWWG12A8C133380,40 OZ Quartet Part I,Tha Liks,X.O. Experience,2001,angry
SOPQJZR12AB01882BD,Kiss the Sky,Danielle Bollinger,When The Broken Hearted Love Again,2006,hopeful
SOORJCV12A8C144A4E,Xue Hua Chao,Hins Cheung,Urban Emotions,2008,angry
SOOAEZC12AAF3B28BD,Mary Had A Little Lamb,Dora The Explorer,Dora The Explorer Party Favorites,2008,afraid
SOCMYLF12A67020A4D,Tell Your Momma Come,Black Eyed Peas,Bridging The Gap,2000,angry
SOEOYBN12A6D4F9E2C,Turn The Heat Up,Bobaflex,Apologize For Nothing,2005,discontent
SOAPDWC12AC468BB3B,The Future,Benga,GetDarker Presents THIS IS DUBSTEP 2,2006,sad
SOULPEW12A8C13E4F7,4 Minutes [Featuring Justin Timberlake And Timbaland] [Junkie XL Remix Edit],Madonna,Hard Candy,2008,sad
SOCIACN12AB0189ADC,Storm,The Pharcyde,Humboldt Beginnings,2004,discontent
SOAQTZJ12A8C14343C,Canal de jonage,Mich\xc3\xa8le Bernard,Piano Voix,2006,angry
SOMVRYP12AB0185AFF,Flight of the Elephant,Workhorse,Beasts of Burden,2007,sad
SOYJHEW12A8C133A40,I Changed My Mind (DJ Spinna Remix),Lyrics Born,Same !@#$ Different Day,2005,discontent
SOLDLRC12AC907269F,This Side Of Paradise,Nestor Torres,The Very Best of Nestor Torres,2001,happy
SOSIANM12AB018CC80,Only Human,Usher Featuring The Nu Beginning,Back To The Beginning - Usher,2004,discontent
SOPZHFK12A8C135493,Adrift,Jack Johnson,Sleep Through The Static,2008,angry
SOPIFJT12A81C221AC,Three Little Birds,Bob Marley & The Wailers,Legend,2007,happy
SORGUQZ12AB0184B31,V,Zeromancer,The Death Of Romance,2010,discontent
SOCSLKG12A6D4F5954,Through With You,Maroon 5,Songs About Jane,2002,sad
SOCHJTF12AC4686775,A Talk With Dad,Speech,PEECHY,2003,sad
SOBNTOJ12A8C133435,Whip Fight,Harry Gregson-Williams,Rundown/Welcome To The Jungle,2003,sad
SORLVXI12A8AE45E37,Prayer For The Dying (Live In Paris),Seal,Live In Paris,2005,afraid
SOELVHE12A8C135E02,Safety Net (Album Version),Moros Eros,Jealous Me Was Killed By Curiosity,2007,sad
SOSKXWY12A8C135248,C'Etait Bien,Jean Corti,Couka,2001,angry
SOJWSCQ12A6D4FBAB9,Trumpet Blues And Cantabile,Mike Vax,Trumpets - The Transformation,2001,sad
SOKEGNC12A6D4FB54C,Main Title,Christophe Beck,Elektra,2002,sad
SOYSKFE12A8C143AF3,Everyday Stranger,Dub Pistols feat. TK & Ashley Slater,Rum & Coke,2009,sad
SOKIZGL12AB018342D,You (Demo),Radiohead,Pablo Honey (Collector's Edition),2009,discontent
SOGZMUF12A67ADAE79,Death Song,The Last Days Of Jesus,Alien Road,2004,afraid
SORUYQB12A81357343,Virgen De La Nieve - 14-String Guitar Solo,Stephan Micus,Towards The Wind,2002,discontent
SOACXUA12AB017C9A4,Rotate,Capone-N-Noreaga feat. Busta Rhymes and Ron Browz,Channel 10,2009,angry
SOKZCJC12AF72A8C79,Here And Beyond,Behemoth,Zos Kia Cultus,2002,sad
SOIXICA12A58A7A9A5,Ali Baba,Jackie Edwards,The Bunny Striker Lee Story,2003,happy
SOAEHZK12AB0182ADF,20 horas de nada,Alex Ubago,Calle ilusion,2009,discontent
SODVVZT12CF58273DB,The Christmas Song,Mannheim Steamroller,Christmas Song,2009,contemplative
SOJMRUS12A8C13693A,Rescue And Breakout,James Horner,The Missing,2003,sad
SOLQVLD12A58A7610B,Secret Handshakes,The Ataris,Welcome The Night,2006,angry
SONTKHG12A81C22D4C,Only You,Ayo,Live At The Olympia,2006,discontent
SOFQOAR12AC4688316,Boulevard St. Germain,Bloomfield,Caf\xc3\xa9 Solaire 11-Download Edition,2006,angry
SOVLJVC12AB01809F8,Let It Bang,X-ecutioners featuring M.O.P.,Built From Scratch,2001,angry
SOZPUVL12AB0188069,Haughtiness And Puerile Dreams,Autumnblaze,Perdition Diaries,2009,happy
SORVMCT12A6D4FA8F7,Gamble Calypso,Mau Mau,Safari Beach (Tucasa Micasa),2000,hopeful
SODVLYP12A6D4FCCA3,Feriado,Chico Cesar,Francisco Forro Y Frevo,2008,angry
SOOGOQH12A8C1415D7,What Would You Do?,City High,Ultimate R&B,2001,angry
SODWYJZ12AB018240F,America's Suitehearts,Fall Out Boy,Alternative Summer 2009,2008,angry
SOVVGSH12A8C14085F,Pode Me Chamar,Eddie,Brazil Classics 7: What's Happening in Pernambuco_ New Sounds of the Brazilian Northeast,2007,angry
SOGMTCP12A58A81E46,Go And Wash (Those Dirty Feet),Johnny Horton,Country Legend,2005,discontent
SOGVDLQ12A58A7E3C5,Comin' Home,ZO2,Ain't It Beautiful,2007,sad
SOUYOSU12A8C139214,Porcelaine,Benabar,Live Au Grand Rex,2001,afraid
SOFHZSP12A58A79004,Are You The One?,The Presets,Are You The One?,2005,hopeful
SOPMUGB12A8C13833E,Tirador (Carlos Jean Remix),Hevia,Tierra De Hevia,2005,discontent
SONCELS12A58A7D2A7,No Ordinary Love (Remastered LP Version),Deftones,B-Sides & Rarities,2005,happy
SORXFQI12A8C132FAC,Freak,Stephen Pearcy,Anthology 1977-2007,2002,afraid
SOQFMJN12AB0181D3D,Kapitel 4,Oliver Kalkofe,Kalkofe liest Asmussen - Lachen ist gesund Vol.1,2008,angry
SOFRBZI12AB0186AE8,IRM,Charlotte Gainsbourg,IRM,2009,discontent
SOJDFOK12AB018211B,Qu Ni De Hun Li,Candy Lo,Fantasy,2001,discontent
SOXLGIE12A6D4FD624,Smoke In The Air (A Cappella),C.L. Smooth,American Me 12,2006,sad
SOXBVUJ12A8C13CB38,I've Been Trying,Archie Bell and The Drells,I Can't Stop Dancing,2004,sad
SOAZKKM12A6D4F7D9D,Hala_ Tumba And Timbal,Airto Moreira,Life After That,2003,angry
SOCWKZV12AB018A943,Everybody,Goose,Bring It On Rarities & Remixes,2006,afraid
SOLPKNI12A8C13CA50,Loud Up!!,The Mad Capsule Markets,1997-2004 (Hits),2004,angry
SOUJKAH12A6701F2A5,Control It (Album Version),Static-X,Shadow Zone,2003,angry
SOCEPXD12AB01829AA,Got You Moving,DJ DLG feat. MC Flipside,On The Run / Back For More / Got You Moving EP,2006,discontent
SOKESRD12A6701E91C,Everybody's Gonna Be Happy,Queens Of The Stone Age,Songs For The Deaf,2002,contemplative
SOFRINM12A6D4F7B10,Threadbare Gypsy Soul,Pat Green,Three Days,2001,contemplative
SOKODRA12A8C13B4B5,City Headache,Scott Matthews,Passing Stranger,2006,angry
SOUNBZQ12A8C1366A3,78 Stimulator,Stimulator,Stimulator,2004,sad
SOKEGBU12AB017FA3E,Skiff For The Suits,Arsonists Get All The Girls,Portals,2009,angry
SOQCRIP12AB0184DA3,Stone a Pig,Bongzilla,Live From the Relapse Contamination Festival,2002,discontent
SORATLR12AAF3B3E19,House Of Sin,Leeroy Stagger,Beautiful House,2005,sad
SOAGBCW12AB0183D8F,With a Little Dub From My Friends (feat. Luciano and U Roy),Easy Star All-Stars,Easy Star's Lonely Hearts Dub Band,2009,happy
SOJDEBD12AB018512D,Escape From The Underrealm,Tilman Sillescu,Battleforge,2008,discontent
SOXZAGF12CF5827515,Amazing,George Michael,Amazing,2004,afraid
SOXWTYQ12A58A7BDAD,Freezin' From The Inside Out,John Sebastian,Tar Beach,2001,discontent
SOSKUCS12A58A7955B,Bleeds In Blue (Album Version),Home Town Hero,Home Town Hero,2002,angry
SOPFGRC12A81C220E1,Gaffo's Ball,Sharon Shannon,The Galway Girl - The Best Of Sharon Shannon,2007,angry
SOHCSSG12A58A7CF2D,I've Been Working on the Railroad,Laurie Berkner,Buzz Buzz,2001,angry
SOGAGGI12AB0183FC6,Slatke male maloletnice,Beogradski Sindikat,Bssst.....Tisincina!,2002,sad
SODKHSQ12AB0185513,He Took A Cab To Neptune,Art Ensemble Of Chicago,Sirius Calling,2004,angry
SOKDJRX12A8C146003,When Horsepower Meant What It Said,Sandi Thom,The Best Of,2006,happy
SOEENRO12AB01859DF,Unsafe Sextet/Gilded Hearts of Booklovers,Busdriver,Jhelli Beam,2009,happy
SOPYTWT12A6310EEF5,No Reply (Demo),Buzzcocks,Chronology,2008,angry
SOOYBBU12A6D4F9AF3,Nature Boy,Quadro Nuevo,Luna Rossa,2002,discontent
SOCJWPN12A6D4FB3C5,Where You Think You're Goin'?,Darryl Worley,I Miss My Friend,2002,hopeful
SOQBMLT12A8AE45F50,Shoot The Dog,George Michael,Twenty Five,2004,angry
SOMZIHP12AC9E12A87,Midnight Lovers,Wyclef Jean,Masquerade,2002,angry
SOWETKI12A67ADC802,Tainted Love feat. Tatz,NG3,As Nasty As we Wanna Be,2003,discontent
SOUNPPV12A8C13F5D3,The Song Remains The Same (2007 Remastered Album Version),Led Zeppelin,Mothership,2007,afraid
SOHQKEZ12AC46875E9,Constructing the Absence,Sub Swara,Coup d'Yah Remixes Vol. 2,2008,sad
SOURCQF12A6D4F6F04,Praz Him (Broken Album Version),Darwin Hobbs,Broken,2003,sad
SOAOPCG12AC468D27E,Everything In Its Right Place,Radiohead,The Best Of,2000,sad
SOYIGVZ12A8C13C73D,Eat Or Get Ate,Tum Tum,Eat Or Get Ate,2007,sad
SOHGPEC12A8C13BBE8,Better Life,3 Doors Down,The Better Life - Deluxe Edition,2007,sad
SOMOFTZ12AB0182A54,Curse Of Sound (Dub Mix),Vuneny,V2,2006,sad
SOSXERI12AB0190244,Tough Guy,Open Hand,You And Me,2004,hopeful
SONUXDT12A6D4FD8B7,Head Gone/Wine Up Uh Self (Album Version),Elephant Man,Good 2 Go,2003,sad
SOLNWPG12A8C13B98E,Bubble Music,Cam'Ron,Purple Haze,2004,angry
SOXNYWA12AB01877E8,Evigne,Dobet Gnahor\xc3\xa9,Djekpa la you,2010,discontent
SOXPWTF12A81355824,Because Of You (Album Version),Unwritten Law,Here's To The Mourning,2005,contemplative
SOCFPEQ12A6D4FC241,Then Came You,Boogie Pimps,Then Came You,2007,sad
SODHLEZ12A8AE4684B,The Arctic Ocean (Album Version),Sinch,Sinch,2002,afraid
SOUXGUH12AB0187661,Steel Guitar Rag,Alvino Rey And His Orchestra,Big Band Favourites Vol 3,2005,angry
SOEILXI12AB017CBA6,Michael A Grammar,Broadcast,Tender Buttons,2005,sad
SOYOQSV12CF582753D,Primordial Breath,Eluveitie,Slania,2008,sad
SOIRCEO12A8C134D85,Money Didn't Change Me,Three 6 Mafia,Da Unbreakables (Explicit Version),2003,sad
SOJVMJI12AF72A14F8,Virtuous Woman,Warrior King,Riddim Rider : Trod'n to Zion,2002,angry
SOQAZYX12AB0182724,Separate Ways,Agnostic Front,Disarming Violence,2002,hopeful
SOIXZBS12A8C13DAFB,Sag es sag es feat. Neo,Samy Deluxe,The big baus of the nauf,2006,sad
SOANVVN12A8AE452E2,Eduardo,Sapo,Pastanaga,2003,sad
SOMKGQN12A8C1339D2,Blue Orchid,The White Stripes,Blue Orchid,2005,happy
SOAFHKH12AC90757B7,Josy,Nicolas Bacchus,Balades pour enfants louches,2002,sad
SOEFXUF12AB018418B,Unwanted,Avril Lavigne,My World,2001,angry
SOCQDVP12A8C1402DC,Everything Man (Album Version),Talib Kweli,Eardrum,2007,sad
SOEYLBU12AB017F771,Trybal,Stargarden,The Art of Analog Diversion,2004,sad
SODPFQN12AB0182AE2,Night Time Blues,Ma Rainey,Night Shift Blues,2005,discontent
SOQQVIP12A8C13E7E6,Sadness,Mavado,Gangsta For Life: The Symphony Of David Brooks,2007,sad
SOZMKSN12AC96186C4,My Old Man Boogie,The Reverend Peyton's Big Damn Band,Big Damn Nation,2006,discontent
SOINODQ12CF5826752,Dirty Harry (Single Edit),Gorillaz,Dirty Harry,2005,sad
SOZCBCO12A8C142714,Good Friend,James Horner,Cocoon: The Return,2000,discontent
SOSCQEX12A6D4F965A,Free Love,Long Beach Dub Allstars,Wonders Of The World,2001,afraid
SOGLLEM12AB0188E6E,Fractured Quantum,Ace Frehley,Anomaly,2009,sad
SOPHDZJ12A6D4F95CD,Il Y A Une Question (Live),Cali,Le Bordel Magnifique,2006,hopeful
SOZAVJO12A8C144B05,Cannibal (Dance Mix),Reel Big Fish,Monkeys For Nothin' And The Chimps For Free,2007,happy
SODJEJR12AB018A460,Was wollen wir noch mehr?,Die Fantastischen Vier,F\xc3\xbcr Dich Immer Noch Fanta Sie,2010,discontent
SOJZKQG12A8C131DDC,The Drug Suite,Stew,The Naked Dutch Painter And Other Songs,2002,discontent
SOUCCAM12AB0181444,Chasing Windmills,Heavy D,Vibes,2008,contemplative
SOLIQRN12A8C1391A6,Eleanor,Low Millions,Eleanor,2004,sad
SOHNPLG12AB0182004,Les Psys,Les Malpolis,Pi\xc3\xa9den\xc3\xa9s,2003,sad
SOSIDUF12AC468D60B,Thrill Pistol,Tigertailz,Thrill Pistol / Wazbones,2007,discontent
SOEKFRD12A8C13CC0A,Dieter's Theme,Klaus Badelt,Rescue Dawn,2007,sad
SOQJDEK12A8AE45E7A,I'm Alive (BT & Sasha Mix),Seal,Seal Best Remixes 1991-2005,2001,hopeful
SOGTAFY12AB017CF0D,Tonight,Swami,,2009,discontent
SOPDTXH12A8C1411BD,Jean Dominique Intro,Wyclef Jean,WELCOME TO HAITII CREOLE 101,2004,angry
SODRVWF12A58A7DB20,Programmed to Consume,Abysmal Dawn,Programmed to Consume,2008,sad
SOIFTWG12AF72A1F55,Junk,Photek,Solaris,2000,sad
SOAECCP12AB0186ADB,Spider's Nest Blues,Memphis Jug Band,Move That Thing Vol 2,2005,discontent
SOFIEJM12A8C141ABD,Harmony,Jesse Malin,On Your Sleeve,2008,discontent
SOPKJJT12A8C1433B0,It's Surprising What the Lord Can Do,The Del McCoury Band,The Promise Land,2006,angry
SOGIMLG12A8C13A2C8,Mein Herz kann man nicht kaufen,Gall_ France,En Allemand - Das Beste Auf Deutsch,2006,discontent
SOTZYDA12AC4686E81,Hoes & Discos,Non Stop DJs,Furious EP,2004,angry
SOMCLSH12AF72A5CA4,If This Is The End,Jeff Scott Soto,Lost In The Translation,2004,sad
SOHGCAM12AB018B2DB,Aulis Gerlander,Jope Ruonansuu,Kaikkien aikojen parhaat -45 klassikkoa - Aattelepa ite,2004,discontent
SONOBCB12A8C1397B9,Touch My Body,Mariah Carey,Bye Bye,2008,sad
SORXHUD12AB0186030,Dj,Markscheider Kunst,Utopia,2010,angry
SOBPVNW12A8C135CB5,I'm Hot,Erick Sermon,Music,2001,discontent
SOAZWHG12AB01861BA,The Same Old Innocence,Architecture In Helsinki,Places Like This,2007,discontent
SOMFBRG12A6D4F9014,Run,Lighthouse Family,The Very Best Of,2001,angry
